"Gene","Module"
"1700007N18Rik","turquoise"
"Mast2","turquoise"
"Ankrd32","turquoise"
"Ldb2","turquoise"
"Rdhs","turquoise"
"Ak2","turquoise"
"Cdc2a","turquoise"
"Akap13","turquoise"
"2610029K21Rik","turquoise"
"Pa2g4","turquoise"
"2810043G22Rik","turquoise"
"Brp44l","turquoise"
"Gltp","turquoise"
"Spry1","turquoise"
"Eomes","turquoise"
"Ebi3","turquoise"
"Slc38a4","turquoise"
"Srebf2","turquoise"
"Magee1","turquoise"
"Scrg3","turquoise"
"Ccl5","turquoise"
"V1rc13","turquoise"
"Slc7a9","turquoise"
"Snrpa","turquoise"
"Sqle","turquoise"
"C330027C09Rik","turquoise"
"4632419K20Rik","turquoise"
"Col5a3","turquoise"
"BC022744","turquoise"
"Gne","turquoise"
"Serpine1","turquoise"
"Cxcl10","turquoise"
"Tmem25","turquoise"
"Ngfrap1","turquoise"
"1700001C14Rik","turquoise"
"Mcoln1","turquoise"
"Galt","turquoise"
"2600001J17Rik","turquoise"
"Nrarp","turquoise"
"Cdca3","turquoise"
"Sgol2","turquoise"
"D630032B01Rik","turquoise"
"Lsm8","turquoise"
"Rnps1","turquoise"
"Ly108","turquoise"
"Frk","turquoise"
"Pbef1","turquoise"
"Dars","turquoise"
"9930023K05Rik","turquoise"
"BC017158","turquoise"
"Tcf1","turquoise"
"Tle1","turquoise"
"Rps3a","turquoise"
"Myh7","turquoise"
"Surf6","turquoise"
"Hmgb1","turquoise"
"C330018D20Rik","turquoise"
"Top2a","turquoise"
"Gpr48","turquoise"
"4930544G21Rik","turquoise"
"Cd84","turquoise"
"Ctrb","turquoise"
"Rpl3l","turquoise"
"Unc5b","turquoise"
"LOC14433","blue"
"Saa2","blue"
"3110050K21Rik","blue"
"Sulf1","blue"
"Waspip","blue"
"Tank","blue"
"2700081O15Rik","blue"
"Ctso","blue"
"Ltbp1","blue"
"Wbscr18","blue"
"Zfp609","blue"
"Tnnt3","blue"
"Tusc3","blue"
"4921506M07Rik","blue"
"Hccs","blue"
"Mkrn2","blue"
"Hrbl","blue"
"Pkm2","blue"
"2810405K07Rik","blue"
"Cd97","blue"
"Cnga1","blue"
"Onecut1","blue"
"AA175286","blue"
"1700019I23Rik","blue"
"Ing1","blue"
"Prg4","blue"
"Efemp2","blue"
"Sertad2","blue"
"Pscdbp","blue"
"A630056B21Rik","blue"
"0910001A06Rik","blue"
"D7Bwg0611e","blue"
"Itgal","blue"
"2310046G15Rik","blue"
"Cpa1","blue"
"Sorcs3","blue"
"D630024B06Rik","blue"
"Ptprc","blue"
"4933434L15Rik","blue"
"Fabp7","blue"
"Lzp-s","blue"
"Hrh4","blue"
"2810433K01Rik","blue"
"E2f7","blue"
"4933431N12Rik","blue"
"Epha1","blue"
"Pura","blue"
"AB041550","blue"
"Bbox1","blue"
"BC022765","blue"
"1500004O14Rik","blue"
"2810439K08Rik","blue"
"1200003C23Rik","blue"
"Art4","blue"
"C030006K11Rik","blue"
"Ga17","blue"
"Ube2m","blue"
"Sprrl2","blue"
"1810036I24Rik","blue"
"Slc12a8","blue"
"Kif2a","blue"
"AB041803","blue"
"Ctrl","blue"
"Ctps","blue"
"A830073O21Rik","blue"
"Sparc","blue"
"Cdkn1b","blue"
"Flnb","blue"
"Ddx6","blue"
"Naalad2","blue"
"Rtn2","blue"
"Cybb","blue"
"BC055107","blue"
"D13Ertd275e","blue"
"Abcd3","blue"
"A530057A03Rik","blue"
"6330416L07Rik","blue"
"Vil","blue"
"Arhgef9","blue"
"Myo7b","blue"
"Mint","blue"
"Timp1","blue"
"1700029H14Rik","blue"
"Mcoln2","blue"
"Cox7b","blue"
"BC003322","blue"
"Rasa1","blue"
"Samhd1","blue"
"4931406H21Rik","blue"
"Aqp8","blue"
"Cpb1","blue"
"Arhgap9","blue"
"Ripk3","blue"
"Eltd1","blue"
"H2-T10","blue"
"Prkaa2","blue"
"Cd2","blue"
"Grp58","blue"
"1700024P16Rik","blue"
"Tomm34","blue"
"Golph3","blue"
"BC029716","blue"
"Tceb1","blue"
"Lactb2","blue"
"Mg29","blue"
"Acate2","blue"
"Sf3a3","blue"
"4930524B17Rik","blue"
"A630026F04","blue"
"Tgif","blue"
"4933415L06Rik","blue"
"Jun","blue"
"Tpi","blue"
"Dp1","blue"
"Dbil5","blue"
"Azi2","blue"
"Pla2g7","blue"
"Lyzs","blue"
"Pdk2","blue"
"Spnb3","blue"
"Solt","blue"
"Mif","blue"
"1810062O14Rik","blue"
"BC026666","blue"
"Ccr5","blue"
"Spic","blue"
"Tgm5","blue"
"Fignl1","blue"
"Cwf19l2","blue"
"Jak2","blue"
"Cdc20","blue"
"1810045K17Rik","blue"
"Krt1-13","blue"
"1110020L19Rik","blue"
"1810015C04Rik","blue"
"Mogat1","blue"
"Gjb3","blue"
"1200009I06Rik","blue"
"Osbpl5","blue"
"Abcg1","blue"
"Jam2","blue"
"Slc16a1","blue"
"Pip5k1b","blue"
"Mccc1","blue"
"Npn3","blue"
"Fut7","blue"
"Odf2","blue"
"Jarid1a","blue"
"Tubb2","blue"
"5031439A09Rik","blue"
"Cstb","blue"
"Bmp5","blue"
"Myoz1","blue"
"D2Ertd750e","blue"
"Rdh11","blue"
"2810408E11Rik","blue"
"B230208H17Rik","blue"
"D7Ertd462e","blue"
"D4st1","blue"
"Sprrl9","blue"
"4921505C17Rik","blue"
"Krt2-8","blue"
"Tm6sf1","blue"
"Zfp521","blue"
"Pkib","blue"
"Ppic","blue"
"4930469P12Rik","blue"
"Sycn","blue"
"Tagln","blue"
"3222401M22Rik","blue"
"Pprc1","blue"
"6330407D12Rik","blue"
"Ier2","blue"
"5730497N03Rik","blue"
"Porcn","blue"
"Aard","blue"
"Pmaip1","blue"
"Myl3","blue"
"Ngef","blue"
"Rgpr","blue"
"2010309E21Rik","blue"
"BC029214","blue"
"2400010G15Rik","blue"
"Stat4","blue"
"Hsd11b1","blue"
"C330006A16Rik","blue"
"2600017H02Rik","blue"
"Slc25a24","blue"
"Tns","blue"
"BC031181","blue"
"6530402N02Rik","blue"
"Zfp307","blue"
"Pou4f1","blue"
"2410003B16Rik","blue"
"Opa1","blue"
"Ash1l","blue"
"Cat","blue"
"Arsa","blue"
"1110001A05Rik","blue"
"Kif22","blue"
"Adpn","blue"
"Ehd2","blue"
"BB049667","blue"
"Tpte","blue"
